,title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,characteristics_ch1,characteristics_ch1.1,characteristics_ch1.2,treatment_protocol_ch1,molecule_ch1,extract_protocol_ch1,label_ch1,label_protocol_ch1,taxid_ch1,hyb_protocol,scan_protocol,description,description.1,data_processing,data_processing.1,platform_id,contact_name,contact_email,contact_department,contact_institute,contact_address,contact_city,contact_zip/postal_code,contact_country,supplementary_file,supplementary_file.1,data_row_count,relation,material:ch1,methylation class:ch1,tissue:ch1,gender,sex
GSM2402854,"GBM, G34, sample 1 [reference set]",GSM2402854,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, G34",material: Frozen,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402854/suppl/GSM2402854_5684819014_R03C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402854/suppl/GSM2402854_5684819014_R03C02_Red.idat.gz,0,,Frozen,"GBM, G34",NA,M,1
GSM2402859,"GBM, G34, sample 6 [reference set]",GSM2402859,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, G34",material: Frozen,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402859/suppl/GSM2402859_5684819014_R01C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402859/suppl/GSM2402859_5684819014_R01C02_Red.idat.gz,0,,Frozen,"GBM, G34",NA,M,1
GSM2402860,"GBM, G34, sample 7 [reference set]",GSM2402860,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, G34",material: Frozen,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402860/suppl/GSM2402860_5911815001_R04C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402860/suppl/GSM2402860_5911815001_R04C01_Red.idat.gz,0,,Frozen,"GBM, G34",NA,M,1
GSM2402862,"GBM, G34, sample 9 [reference set]",GSM2402862,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, G34",material: Frozen,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402862/suppl/GSM2402862_5911815001_R02C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402862/suppl/GSM2402862_5911815001_R02C01_Red.idat.gz,0,,Frozen,"GBM, G34",NA,M,1
GSM2402867,"GBM, G34, sample 14 [reference set]",GSM2402867,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, G34",material: Frozen,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402867/suppl/GSM2402867_5684819013_R05C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402867/suppl/GSM2402867_5684819013_R05C01_Red.idat.gz,0,,Frozen,"GBM, G34",NA,M,1
GSM2402870,"GBM, MYCN, sample 17 [reference set]",GSM2402870,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, MYCN",material: Frozen,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402870/suppl/GSM2402870_5684819026_R01C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402870/suppl/GSM2402870_5684819026_R01C02_Red.idat.gz,0,,Frozen,"GBM, MYCN",NA,F,2
GSM2402876,"GBM, G34, sample 23 [reference set]",GSM2402876,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, G34",material: Frozen,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402876/suppl/GSM2402876_6164621155_R05C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402876/suppl/GSM2402876_6164621155_R05C02_Red.idat.gz,0,,Frozen,"GBM, G34",NA,M,1
GSM2402877,"GBM, G34, sample 24 [reference set]",GSM2402877,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, G34",material: Frozen,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402877/suppl/GSM2402877_6164621081_R06C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402877/suppl/GSM2402877_6164621081_R06C02_Red.idat.gz,0,,Frozen,"GBM, G34",NA,F,2
GSM2402878,"GBM, G34, sample 25 [reference set]",GSM2402878,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, G34",material: Frozen,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402878/suppl/GSM2402878_6164621131_R02C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402878/suppl/GSM2402878_6164621131_R02C02_Red.idat.gz,0,,Frozen,"GBM, G34",NA,M,1
GSM2402880,"GBM, G34, sample 27 [reference set]",GSM2402880,Public on Jan 14 2018,Nov 25 2016,Jan 18 2018,genomic,1,brain tumor,Homo sapiens,"methylation class: GBM, G34",material: Frozen,,Extraction of high molecular weight DNA from frozen tumor samples was carried out by use of a salting-out method or by ultracentrifugation over cesium chloride.,genomic DNA,Illumina protocol.,biotin/DNP,Illumina protocol.,9606,Illumina protocol.,Illumina iScan System according to the manufacturer's protocol,Methylation data from brain tumor sample.,,Bioconductor (Version 3.3) package minifi (Version 1.18) using function 'preprocessIllumina',Average beta,GPL13534,"Martin,,Sill",m.sill@dkfz.de,Division of Pediatric Neurooncology,DKFZ,Im Neuenheimer Feld 280,Heidelberg,69120,Germany,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402880/suppl/GSM2402880_6164621081_R04C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402880/suppl/GSM2402880_6164621081_R04C02_Red.idat.gz,0,,Frozen,"GBM, G34",NA,F,2
