Unnamed: 0,gender,sex,Slide,Array
GSM2402854,M,1,5684819014,R03C02
GSM2402859,M,1,5684819014,R01C02
GSM2402860,M,1,5911815001,R04C01
GSM2402862,M,1,5911815001,R02C01
GSM2402867,M,1,5684819013,R05C01
GSM2402870,F,2,5684819026,R01C02
GSM2402876,M,1,6164621155,R05C02
GSM2402877,F,2,6164621081,R06C02
GSM2402878,M,1,6164621131,R02C02
GSM2402880,F,2,6164621081,R04C02
GSM2402882,F,2,6164621131,R02C01
GSM2402883,F,2,6164621131,R05C02
GSM2403087,F,2,6229017111,R06C01
GSM2403088,F,2,6229017103,R06C01
GSM2403089,F,2,6229017111,R01C02
GSM2403090,F,2,6229017111,R02C02
GSM2403091,F,2,6229017111,R04C02
GSM2403092,F,2,6229017120,R01C01
GSM2403093,M,1,6229017120,R02C01
GSM2403094,M,1,6229017120,R04C01
GSM2403095,F,2,6229017120,R05C01
GSM2403096,M,1,6229017120,R02C02
GSM2403097,M,1,6229017103,R03C02
GSM2403098,F,2,6229017103,R04C01
GSM2403099,F,2,6229017111,R01C01
GSM2403100,M,1,6229017103,R05C01
GSM2403101,F,2,6229017111,R04C01
GSM2403102,F,2,6229017111,R05C01
GSM2403103,F,2,6929793058,R01C01
GSM2403104,M,1,6929793058,R02C01
GSM2403105,M,1,6969568010,R04C01
GSM2403106,M,1,6969568010,R01C01
GSM2403107,M,1,6969568010,R02C01
GSM2403108,F,2,6969568010,R03C01
GSM2403109,F,2,6969568010,R05C02
GSM2403110,M,1,6969568010,R02C02
GSM2403111,F,2,6969568010,R04C02
GSM2403113,F,2,6969568103,R03C02
GSM2403114,F,2,6969568103,R06C01
GSM2403116,F,2,6969568103,R02C02
GSM2403118,M,1,6969568103,R05C01
GSM2403120,F,2,6285641004,R02C02
GSM2403121,M,1,6285641004,R05C01
GSM2403122,M,1,6285641005,R05C01
GSM2403123,M,1,6285641005,R01C01
GSM2403124,F,2,6285641005,R06C01
GSM2403125,F,2,6285641004,R06C01
GSM2403190,M,1,6929806024,R02C02
GSM2403425,M,1,8622007029,R06C02
GSM2403471,F,2,8622007011,R01C01
GSM2403472,F,2,8622007019,R04C01
GSM2403473,M,1,8622007011,R03C01
GSM2403474,F,2,8622007019,R05C01
GSM2403475,F,2,8622007019,R06C01
GSM2403476,M,1,8622007011,R05C02
GSM2403477,M,1,8622007013,R02C01
GSM2403478,M,1,8622007013,R04C01
GSM2403479,F,2,8622007013,R01C02
GSM2403480,F,2,8622007013,R05C02
GSM2403481,M,1,8622007013,R06C02
GSM2403482,F,2,8622007014,R02C01
GSM2403483,F,2,8622007014,R06C01
GSM2403484,F,2,8622007014,R02C02
GSM2403485,F,2,8622007014,R04C02
GSM2403486,F,2,8622007019,R06C02
GSM2403487,F,2,8622007020,R02C01
GSM2403488,M,1,8622007020,R06C01
GSM2403489,F,2,8622007063,R01C01
GSM2403597,F,2,8622007144,R03C02
GSM2403598,M,1,8622007144,R01C02
GSM2403604,F,2,8622007144,R04C02
GSM2403648,F,2,8942326114,R02C02
GSM2403649,M,1,8942326114,R05C02
GSM2403650,M,1,8942326114,R03C02
GSM2403668,M,1,8963311098,R02C01
GSM2403669,M,1,8963282018,R03C02
GSM2403670,M,1,8959312010,R03C01
GSM2403671,F,2,8963311098,R05C01
GSM2403672,F,2,8959312010,R06C01
GSM2403673,M,1,8963282018,R01C01
GSM2403674,M,1,8963282039,R02C01
GSM2403675,F,2,8963282062,R03C01
GSM2403676,M,1,8963282039,R05C02
GSM2403677,F,2,8963282062,R01C02
GSM2403678,M,1,8959312010,R04C01
GSM2403679,M,1,8963282039,R06C01
GSM2403680,F,2,8963282046,R05C01
GSM2403682,F,2,8963282018,R01C02
GSM2403683,M,1,8963282062,R04C01
GSM2403684,M,1,8963282018,R02C02
GSM2403685,M,1,8963282062,R06C02
GSM2403688,M,1,8963282062,R02C01
GSM2403689,M,1,8963311098,R02C02
GSM2403690,M,1,8963311098,R04C01
GSM2403691,M,1,8963282046,R03C01
GSM2403693,F,2,9007217139,R02C02
GSM2403696,M,1,9007217139,R01C02
GSM2403697,F,2,9007217139,R03C02
GSM2403724,M,1,9007225082,R05C02
GSM2403729,F,2,9221197135,R04C01
GSM2403738,F,2,9007225086,R02C02
GSM2403740,M,1,9007225163,R05C02
GSM2403748,M,1,9007225163,R01C02
GSM2403896,M,1,9297949146,R06C02
GSM2404023,F,2,9340996014,R04C02
GSM2404025,M,1,9340996014,R05C01
GSM2404026,F,2,9340996014,R02C01
