,gender,sex,Slide,Array
GSM2402854_5684819014_R03C02,M,1,5684819014,R03C02
GSM2402859_5684819014_R01C02,M,1,5684819014,R01C02
GSM2402860_5911815001_R04C01,M,1,5911815001,R04C01
GSM2402862_5911815001_R02C01,M,1,5911815001,R02C01
GSM2402867_5684819013_R05C01,M,1,5684819013,R05C01
GSM2402870_5684819026_R01C02,F,2,5684819026,R01C02
GSM2402876_6164621155_R05C02,M,1,6164621155,R05C02
GSM2402877_6164621081_R06C02,F,2,6164621081,R06C02
GSM2402878_6164621131_R02C02,M,1,6164621131,R02C02
GSM2402880_6164621081_R04C02,F,2,6164621081,R04C02
GSM2402882_6164621131_R02C01,F,2,6164621131,R02C01
GSM2402883_6164621131_R05C02,F,2,6164621131,R05C02
GSM2403087_6229017111_R06C01,F,2,6229017111,R06C01
GSM2403088_6229017103_R06C01,F,2,6229017103,R06C01
GSM2403089_6229017111_R01C02,F,2,6229017111,R01C02
GSM2403090_6229017111_R02C02,F,2,6229017111,R02C02
GSM2403091_6229017111_R04C02,F,2,6229017111,R04C02
GSM2403092_6229017120_R01C01,F,2,6229017120,R01C01
GSM2403093_6229017120_R02C01,M,1,6229017120,R02C01
GSM2403094_6229017120_R04C01,M,1,6229017120,R04C01
GSM2403095_6229017120_R05C01,F,2,6229017120,R05C01
GSM2403096_6229017120_R02C02,M,1,6229017120,R02C02
GSM2403097_6229017103_R03C02,M,1,6229017103,R03C02
GSM2403098_6229017103_R04C01,F,2,6229017103,R04C01
GSM2403099_6229017111_R01C01,F,2,6229017111,R01C01
GSM2403100_6229017103_R05C01,M,1,6229017103,R05C01
GSM2403101_6229017111_R04C01,F,2,6229017111,R04C01
GSM2403102_6229017111_R05C01,F,2,6229017111,R05C01
GSM2403103_6929793058_R01C01,F,2,6929793058,R01C01
GSM2403104_6929793058_R02C01,M,1,6929793058,R02C01
GSM2403105_6969568010_R04C01,M,1,6969568010,R04C01
GSM2403106_6969568010_R01C01,M,1,6969568010,R01C01
GSM2403107_6969568010_R02C01,M,1,6969568010,R02C01
GSM2403108_6969568010_R03C01,F,2,6969568010,R03C01
GSM2403109_6969568010_R05C02,F,2,6969568010,R05C02
GSM2403110_6969568010_R02C02,M,1,6969568010,R02C02
GSM2403111_6969568010_R04C02,F,2,6969568010,R04C02
GSM2403113_6969568103_R03C02,F,2,6969568103,R03C02
GSM2403114_6969568103_R06C01,F,2,6969568103,R06C01
GSM2403116_6969568103_R02C02,F,2,6969568103,R02C02
GSM2403118_6969568103_R05C01,M,1,6969568103,R05C01
GSM2403120_6285641004_R02C02,F,2,6285641004,R02C02
GSM2403121_6285641004_R05C01,M,1,6285641004,R05C01
GSM2403122_6285641005_R05C01,M,1,6285641005,R05C01
GSM2403123_6285641005_R01C01,M,1,6285641005,R01C01
GSM2403124_6285641005_R06C01,F,2,6285641005,R06C01
GSM2403125_6285641004_R06C01,F,2,6285641004,R06C01
GSM2403190_6929806024_R02C02,M,1,6929806024,R02C02
GSM2403425_8622007029_R06C02,M,1,8622007029,R06C02
GSM2403471_8622007011_R01C01,F,2,8622007011,R01C01
GSM2403472_8622007019_R04C01,F,2,8622007019,R04C01
GSM2403473_8622007011_R03C01,M,1,8622007011,R03C01
GSM2403474_8622007019_R05C01,F,2,8622007019,R05C01
GSM2403475_8622007019_R06C01,F,2,8622007019,R06C01
GSM2403476_8622007011_R05C02,M,1,8622007011,R05C02
GSM2403477_8622007013_R02C01,M,1,8622007013,R02C01
GSM2403478_8622007013_R04C01,M,1,8622007013,R04C01
GSM2403479_8622007013_R01C02,F,2,8622007013,R01C02
GSM2403480_8622007013_R05C02,F,2,8622007013,R05C02
GSM2403481_8622007013_R06C02,M,1,8622007013,R06C02
GSM2403482_8622007014_R02C01,F,2,8622007014,R02C01
GSM2403483_8622007014_R06C01,F,2,8622007014,R06C01
GSM2403484_8622007014_R02C02,F,2,8622007014,R02C02
GSM2403485_8622007014_R04C02,F,2,8622007014,R04C02
GSM2403486_8622007019_R06C02,F,2,8622007019,R06C02
GSM2403487_8622007020_R02C01,F,2,8622007020,R02C01
GSM2403488_8622007020_R06C01,M,1,8622007020,R06C01
GSM2403489_8622007063_R01C01,F,2,8622007063,R01C01
GSM2403597_8622007144_R03C02,F,2,8622007144,R03C02
GSM2403598_8622007144_R01C02,M,1,8622007144,R01C02
GSM2403604_8622007144_R04C02,F,2,8622007144,R04C02
GSM2403648_8942326114_R02C02,F,2,8942326114,R02C02
GSM2403649_8942326114_R05C02,M,1,8942326114,R05C02
GSM2403650_8942326114_R03C02,M,1,8942326114,R03C02
GSM2403668_8963311098_R02C01,M,1,8963311098,R02C01
GSM2403669_8963282018_R03C02,M,1,8963282018,R03C02
GSM2403670_8959312010_R03C01,M,1,8959312010,R03C01
GSM2403671_8963311098_R05C01,F,2,8963311098,R05C01
GSM2403672_8959312010_R06C01,F,2,8959312010,R06C01
GSM2403673_8963282018_R01C01,M,1,8963282018,R01C01
GSM2403674_8963282039_R02C01,M,1,8963282039,R02C01
GSM2403675_8963282062_R03C01,F,2,8963282062,R03C01
GSM2403676_8963282039_R05C02,M,1,8963282039,R05C02
GSM2403677_8963282062_R01C02,F,2,8963282062,R01C02
GSM2403678_8959312010_R04C01,M,1,8959312010,R04C01
GSM2403679_8963282039_R06C01,M,1,8963282039,R06C01
GSM2403680_8963282046_R05C01,F,2,8963282046,R05C01
GSM2403682_8963282018_R01C02,F,2,8963282018,R01C02
GSM2403683_8963282062_R04C01,M,1,8963282062,R04C01
GSM2403684_8963282018_R02C02,M,1,8963282018,R02C02
GSM2403685_8963282062_R06C02,M,1,8963282062,R06C02
GSM2403688_8963282062_R02C01,M,1,8963282062,R02C01
GSM2403689_8963311098_R02C02,M,1,8963311098,R02C02
GSM2403690_8963311098_R04C01,M,1,8963311098,R04C01
GSM2403691_8963282046_R03C01,M,1,8963282046,R03C01
GSM2403693_9007217139_R02C02,F,2,9007217139,R02C02
GSM2403696_9007217139_R01C02,M,1,9007217139,R01C02
GSM2403697_9007217139_R03C02,F,2,9007217139,R03C02
GSM2403724_9007225082_R05C02,M,1,9007225082,R05C02
GSM2403729_9221197135_R04C01,F,2,9221197135,R04C01
GSM2403738_9007225086_R02C02,F,2,9007225086,R02C02
GSM2403740_9007225163_R05C02,M,1,9007225163,R05C02
GSM2403748_9007225163_R01C02,M,1,9007225163,R01C02
GSM2403896_9297949146_R06C02,M,1,9297949146,R06C02
GSM2404023_9340996014_R04C02,F,2,9340996014,R04C02
GSM2404025_9340996014_R05C01,M,1,9340996014,R05C01
GSM2404026_9340996014_R02C01,F,2,9340996014,R02C01
GSM2404042_9373550164_R05C02,F,2,9373550164,R05C02
GSM2404056_9373551023_R03C02,F,2,9373551023,R03C02
GSM2404067_9374341006_R04C02,M,1,9374341006,R04C02
GSM2404131_9406921073_R04C01,M,1,9406921073,R04C01
GSM2404132_9406921073_R06C01,M,1,9406921073,R06C01
GSM2404137_9406922158_R06C01,F,2,9406922158,R06C01
GSM2404200_9376561024_R03C01,F,2,9376561024,R03C01
GSM2404208_9379082092_R03C02,M,1,9379082092,R03C02
GSM2404287_9407201028_R01C02,M,1,9407201028,R01C02
GSM2404344_9407210003_R06C01,M,1,9407210003,R06C01
GSM2404366_9407210090_R01C02,M,1,9407210090,R01C02
GSM2404368_9407210090_R04C02,M,1,9407210090,R04C02
GSM2404480_9444374134_R02C01,M,1,9444374134,R02C01
GSM2404486_9444375019_R04C01,F,2,9444375019,R04C01
GSM2404487_9444375019_R05C01,M,1,9444375019,R05C01
GSM2404488_9444375004_R06C01,M,1,9444375004,R06C01
GSM2404489_9444375004_R01C02,F,2,9444375004,R01C02
GSM2404491_9444375004_R05C02,F,2,9444375004,R05C02
GSM2404493_9444375014_R03C01,F,2,9444375014,R03C01
GSM2404499_9444375017_R01C01,F,2,9444375017,R01C01
GSM2404500_9444375017_R03C01,M,1,9444375017,R03C01
GSM2404518_9444375037_R04C02,F,2,9444375037,R04C02
GSM2404527_9444375114_R06C01,M,1,9444375114,R06C01
GSM2404528_9444374168_R06C02,M,1,9444374168,R06C02
GSM2404539_9610361003_R05C02,M,1,9610361003,R05C02
GSM2404546_9553932029_R05C02,F,2,9553932029,R05C02
GSM2404569_9611518113_R02C02,F,2,9611518113,R02C02
GSM2404570_9611518110_R04C02,F,2,9611518110,R04C02
GSM2404571_9611518113_R01C02,M,1,9611518113,R01C02
GSM2404573_9611518110_R05C02,M,1,9611518110,R05C02
GSM2404574_9611518113_R03C01,M,1,9611518113,R03C01
GSM2404577_9611518099_R06C01,M,1,9611518099,R06C01
GSM2404579_9611518099_R03C02,M,1,9611518099,R03C02
GSM2404580_9611518099_R04C02,M,1,9611518099,R04C02
GSM2404582_9611518109_R01C02,F,2,9611518109,R01C02
GSM2404592_9611518116_R01C02,F,2,9611518116,R01C02
GSM2404593_9611518117_R06C02,M,1,9611518117,R06C02
GSM2404597_9611518116_R01C01,F,2,9611518116,R01C01
GSM2404598_9611518117_R05C01,M,1,9611518117,R05C01
GSM2404600_9611518116_R02C02,F,2,9611518116,R02C02
